"plant ID"	GH location	Gall	tissue	plate	column	row
584	resistant rack 6	no gall	leaf	1	1	A
777	resistant rack 6	no gall	leaf	1	1	B
508	resistant rack 6	no gall	leaf	1	1	C
575	resistant rack 6	no gall	leaf	1	1	D
369	resistant rack 6	no gall	leaf	1	1	E
1387	resistant rack 6	no gall	leaf	1	1	F
19	resistant rack 6	no gall	leaf	1	1	G
349	resistant rack 6	no gall	leaf	1	1	H
465	resistant rack 6	no gall	leaf	1	2	A
15	resistant rack 6	no gall	leaf	1	2	B
1319	resistant rack 6	no gall	leaf	1	2	C
185	resistant rack 6	no gall	leaf	1	2	D
560	resistant rack 6	no gall	leaf	1	2	E
167	resistant rack 6	no gall	leaf	1	2	F
212	resistant rack 6	no gall	leaf	1	2	G
561	resistant rack 6	no gall	leaf	1	2	H
1465	resistant rack 6	no gall	leaf	1	3	A
443	resistant rack 6	no gall	leaf	1	3	B
1355	resistant rack 6	no gall	leaf	1	3	C
1412	resistant rack 6	no gall	leaf	1	3	D
510	resistant rack 6	no gall	leaf	1	3	E
31	resistant rack 6	no gall	leaf	1	3	F
83	resistant rack 6	no gall	leaf	1	3	G
13	resistant rack 6	no gall	leaf	1	3	H
564	resistant rack 6	no gall	leaf	1	4	A
694	resistant rack 6	no gall	leaf	1	4	B
883	resistant rack 6	no gall	leaf	1	4	C
326	resistant rack 6	no gall	leaf	1	4	D
124	resistant rack 6	no gall	leaf	1	4	E
494	resistant rack 6	no gall	leaf	1	4	F
93	resistant rack 6	no gall	leaf	1	4	G
1007	resistant rack 6	no gall	leaf	1	4	H
955	resistant rack 6	no gall	leaf	1	5	A
1125	resistant rack 6	no gall	leaf	1	5	B
325	resistant rack 6	no gall	leaf	1	5	C
396	resistant rack 6	no gall	leaf	1	5	D
45	resistant rack 6	no gall	leaf	1	5	E
1346	resistant rack 6	no gall	leaf	1	5	F
632	resistant rack 6	no gall	leaf	1	5	G
320	resistant rack 6	no gall	leaf	1	5	H
72	resistant rack 6	no gall	leaf	1	6	A
708	resistant rack 6	no gall	leaf	1	6	B
478	resistant rack 6	no gall	leaf	1	6	C
248	resistant rack 6	no gall	leaf	1	6	D
156	resistant rack 6	no gall	leaf	1	6	E
227	resistant rack 6	no gall	leaf	1	6	F
43	resistant rack 6	no gall	leaf	1	6	G
783	resistant rack 6	no gall	leaf	1	6	H
381	resistant rack 6	no gall	leaf	1	7	A
1082	resistant rack 6	no gall	leaf	1	7	B
154	resistant rack 6	no gall	leaf	1	7	C
346	resistant rack 6	no gall	leaf	1	7	D
452	resistant rack 6	no gall	leaf	1	7	E
203	resistant rack 6	no gall	leaf	1	7	F
181	resistant rack 6	no gall	leaf	1	7	G
213	resistant rack 6	no gall	leaf	1	7	H
448	resistant rack 6	no gall	leaf	1	8	A
524	resistant rack 6	no gall	leaf	1	8	B
328	resistant rack 6	no gall	leaf	1	8	C
1266	resistant rack 6	no gall	leaf	1	8	D
42	resistant rack 6	no gall	leaf	1	8	E
479	resistant rack 6	no gall	leaf	1	8	F
544	resistant rack 6	no gall	leaf	1	8	G
108	resistant rack 6	no gall	leaf	1	8	H
314	resistant rack 6	no gall	leaf	1	9	A
26	resistant rack 6	no gall	leaf	1	9	B
112	resistant rack 6	no gall	leaf	1	9	C
1400	resistant rack 6	no gall	leaf	1	9	D
755	resistant rack 6	no gall	leaf	1	9	E
390	resistant rack 6	no gall	leaf	1	9	F
481	resistant rack 6	no gall	leaf	1	9	G
1154	resistant rack 6	no gall	leaf	1	9	H
444	resistant rack 6	no gall	leaf	1	10	A
387	resistant rack 6	no gall	leaf	1	10	B
1237	resistant rack 6	no gall	leaf	1	10	C
1369	resistant rack 6	no gall	leaf	1	10	D
69	resistant rack 6	no gall	leaf	1	10	E
1294	resistant rack 6	no gall	leaf	1	10	F
534	resistant rack 7	no gall	leaf	1	10	G
505	resistant rack 7	no gall	leaf	1	10	H
289	resistant rack 7	no gall	leaf	1	11	A
251	resistant rack 7	no gall	leaf	1	11	B
385	resistant rack 7	no gall	leaf	1	11	C
245	resistant rack 7	no gall	leaf	1	11	D
1239	resistant rack 7	no gall	leaf	1	11	E
104	resistant rack 7	no gall	leaf	1	11	F
419	resistant rack 7	no gall	leaf	1	11	G
192	resistant rack 7	no gall	leaf	1	11	H
1243	resistant rack 7	no gall	leaf	1	12	A
416	resistant rack 7	no gall	leaf	1	12	B
244	resistant rack 7	no gall	leaf	1	12	C
24	resistant rack 7	no gall	leaf	1	12	D
283	resistant rack 7	no gall	leaf	1	12	E
521	resistant rack 7	no gall	leaf	1	12	F
613	resistant rack 7	no gall	leaf	1	12	G
276	resistant rack 7	no gall	leaf	1	12	H
424	resistant rack 7	no gall	leaf	2	1	A
1325	resistant rack 7	no gall	leaf	2	1	B
565	resistant rack 7	no gall	leaf	2	1	C
327	resistant rack 7	no gall	leaf	2	1	D
521	resistant rack 7	no gall	leaf	2	1	E
999	resistant rack 7	no gall	leaf	2	1	F
301	resistant rack 7	no gall	leaf	2	1	G
1345	resistant rack 7	no gall	leaf	2	1	H
