Row Sort	Column Sort	RAPiD Genomics Sample Code	Unique Client Code	Concentration (ng / uL)	Volume (uL)	Comments	"RAPiD Genomics Lab Use ONLY 
Concentration (ng / uL)"	"RAPiD Genomics Lab Use ONLY
Total DNA (ng)"
1	1	UFL_104301_P01_WA01	584	13.2	100	leaf	0.00	0.00
13	2	UFL_104301_P01_WB01	777	28.8	100	leaf	0.00	0.00
25	3	UFL_104301_P01_WC01	508	15	100	leaf	0.00	0.00
37	4	UFL_104301_P01_WD01	575	33.9	100	leaf	0.00	0.00
49	5	UFL_104301_P01_WE01	369	26	100	leaf	0.00	0.00
61	6	UFL_104301_P01_WF01	1387	48.8	100	leaf	0.00	0.00
73	7	UFL_104301_P01_WG01	19	16.1	100	leaf	0.00	0.00
85	8	UFL_104301_P01_WH01	349	39.6	100	leaf	0.00	0.00
2	9	UFL_104301_P01_WA02	465	48.5	100	leaf	0.00	0.00
14	10	UFL_104301_P01_WB02	15	59.8	100	leaf	0.00	0.00
26	11	UFL_104301_P01_WC02	1319	78.8	100	leaf	0.00	0.00
38	12	UFL_104301_P01_WD02	185	78.4	100	leaf	0.00	0.00
50	13	UFL_104301_P01_WE02	560	71.6	100	leaf	0.00	0.00
62	14	UFL_104301_P01_WF02	167	46.9	100	leaf	0.00	0.00
74	15	UFL_104301_P01_WG02	212	0	100	leaf	0.00	0.00
86	16	UFL_104301_P01_WH02	561	73.9	100	leaf	0.00	0.00
3	17	UFL_104301_P01_WA03	1465	55.5	100	leaf	0.00	0.00
15	18	UFL_104301_P01_WB03	443	59.8	100	leaf	0.00	0.00
27	19	UFL_104301_P01_WC03	1355	75.7	100	leaf	0.00	0.00
39	20	UFL_104301_P01_WD03	1412	63.4	100	leaf	0.00	0.00
51	21	UFL_104301_P01_WE03	510	72.2	100	leaf	0.00	0.00
63	22	UFL_104301_P01_WF03	31	47	100	leaf	0.00	0.00
75	23	UFL_104301_P01_WG03	83	66.8	100	leaf	0.00	0.00
87	24	UFL_104301_P01_WH03	13	65.3	100	leaf	0.00	0.00
4	25	UFL_104301_P01_WA04	564	51.9	100	leaf	0.00	0.00
16	26	UFL_104301_P01_WB04	694	76.4	100	leaf	0.00	0.00
28	27	UFL_104301_P01_WC04	883	70.4	100	leaf	0.00	0.00
40	28	UFL_104301_P01_WD04	326	41.7	100	leaf	0.00	0.00
52	29	UFL_104301_P01_WE04	124	66.4	100	leaf	0.00	0.00
64	30	UFL_104301_P01_WF04	494	73	100	leaf	0.00	0.00
76	31	UFL_104301_P01_WG04	93	25.5	100	leaf	0.00	0.00
88	32	UFL_104301_P01_WH04	1007	44.3	100	leaf	0.00	0.00
5	33	UFL_104301_P01_WA05	955	63.1	100	leaf	0.00	0.00
17	34	UFL_104301_P01_WB05	1125	59.7	100	leaf	0.00	0.00
29	35	UFL_104301_P01_WC05	325	74.5	100	leaf	0.00	0.00
41	36	UFL_104301_P01_WD05	396	59.4	100	leaf	0.00	0.00
53	37	UFL_104301_P01_WE05	45	57.9	100	leaf	0.00	0.00
65	38	UFL_104301_P01_WF05	1346	49.1	100	leaf	0.00	0.00
77	39	UFL_104301_P01_WG05	632	59.1	100	leaf	0.00	0.00
89	40	UFL_104301_P01_WH05	320	54.5	100	leaf	0.00	0.00
6	41	UFL_104301_P01_WA06	72	47.5	100	leaf	0.00	0.00
18	42	UFL_104301_P01_WB06	708	82	100	leaf	0.00	0.00
30	43	UFL_104301_P01_WC06	478	57.7	100	leaf	0.00	0.00
42	44	UFL_104301_P01_WD06	248	50.3	100	leaf	0.00	0.00
54	45	UFL_104301_P01_WE06	156	67.1	100	leaf	0.00	0.00
66	46	UFL_104301_P01_WF06	227	52.5	100	leaf	0.00	0.00
78	47	UFL_104301_P01_WG06	43	60.7	100	leaf	0.00	0.00
90	48	UFL_104301_P01_WH06	783	36.1	100	leaf	0.00	0.00
7	49	UFL_104301_P01_WA07	381	66.4	100	leaf	0.00	0.00
19	50	UFL_104301_P01_WB07	1082	61.7	100	leaf	0.00	0.00
31	51	UFL_104301_P01_WC07	154	66.4	100	leaf	0.00	0.00
43	52	UFL_104301_P01_WD07	346	65.7	100	leaf	0.00	0.00
55	53	UFL_104301_P01_WE07	452	62.6	100	leaf	0.00	0.00
67	54	UFL_104301_P01_WF07	203	51.7	100	leaf	0.00	0.00
79	55	UFL_104301_P01_WG07	181	39.1	100	leaf	0.00	0.00
91	56	UFL_104301_P01_WH07	213	35	100	leaf	0.00	0.00
8	57	UFL_104301_P01_WA08	448	73.4	100	leaf	0.00	0.00
20	58	UFL_104301_P01_WB08	524	68.1	100	leaf	0.00	0.00
32	59	UFL_104301_P01_WC08	328	50.1	100	leaf	0.00	0.00
44	60	UFL_104301_P01_WD08	1266	70.9	100	leaf	0.00	0.00
