sample	sample_long	sample_type	num_pooled
P02_WA07	P02_WA07_i5-509_i7-77_S859	10_5_x_4_6664	1
P02_WB07	P02_WB07_i5-509_i7-29_S866	10_5_x_4_6664	1
P02_WC07	P02_WC07_i5-509_i7-62_S873	10_5_x_4_6664	1
P02_WD07	P02_WD07_i5-509_i7-86_S880	10_5_x_4_6664	1
P02_WE07	P02_WE07_i5-509_i7-44_S887	10_5_x_4_6664	1
P02_WF07	P02_WF07_i5-509_i7-33_S894	10_5_x_4_6664	1
P04_WA09	P04_WA09_i5-511_i7-36_S1012	10_5_megagametophyte	1
P04_WA10	P04_WA10_i5-511_i7-54_S1013	10_5_megagametophyte	1
P04_WA11	P04_WA11_i5-511_i7-25_S1014	10_5_megagametophyte	1
P04_WA12	P04_WA12_i5-511_i7-23_S1015	10_5_megagametophyte	1
P04_WB09	P04_WB09_i5-511_i7-63_S1024	10_5_megagametophyte	1
P04_WB10	P04_WB10_i5-511_i7-55_S1025	10_5_megagametophyte	1
P04_WB11	P04_WB11_i5-511_i7-05_S1026	10_5_megagametophyte	1
P04_WB12	P04_WB12_i5-511_i7-75_S1027	10_5_megagametophyte	1
P04_WC09	P04_WC09_i5-511_i7-93_S1036	10_5_megagametophyte	1
P04_WC10	P04_WC10_i5-511_i7-47_S1037	10_5_megagametophyte	1
P04_WC11	P04_WC11_i5-511_i7-70_S1038	10_5_megagametophyte	1
P04_WC12	P04_WC12_i5-511_i7-43_S1039	10_5_megagametophyte	1
P04_WD09	P04_WD09_i5-511_i7-64_S1048	10_5_megagametophyte	1
P04_WD10	P04_WD10_i5-511_i7-08_S1049	10_5_megagametophyte	1
P04_WD11	P04_WD11_i5-511_i7-58_S1050	10_5_megagametophyte	1
P04_WD12	P04_WD12_i5-511_i7-09_S1051	10_5_megagametophyte	1
P04_WE08	P04_WE08_i5-511_i7-04_S1058	10_5_megagametophyte	1
P04_WE09	P04_WE09_i5-511_i7-24_S1059	10_5_megagametophyte	1
P04_WE10	P04_WE10_i5-511_i7-61_S1060	10_5_megagametophyte	1
P04_WE11	P04_WE11_i5-511_i7-13_S1061	10_5_megagametophyte	1
P04_WF08	P04_WF08_i5-511_i7-53_S1068	10_5_megagametophyte	1
P04_WF09	P04_WF09_i5-511_i7-46_S1069	10_5_megagametophyte	1
P04_WF10	P04_WF10_i5-511_i7-26_S1070	10_5_megagametophyte	1
P04_WF11	P04_WF11_i5-511_i7-51_S1071	10_5_megagametophyte	1
P04_WG08	P04_WG08_i5-511_i7-68_S1078	10_5_megagametophyte	1
P04_WG09	P04_WG09_i5-511_i7-41_S1079	10_5_megagametophyte	1
P04_WG10	P04_WG10_i5-511_i7-37_S1080	10_5_megagametophyte	1
P04_WG11	P04_WG11_i5-511_i7-96_S1081	10_5_megagametophyte	1
P04_WH08	P04_WH08_i5-511_i7-85_S1088	10_5_megagametophyte	1
P04_WH09	P04_WH09_i5-511_i7-83_S1089	10_5_megagametophyte	1
P04_WH10	P04_WH10_i5-511_i7-34_S1090	10_5_megagametophyte	1
P04_WH11	P04_WH11_i5-511_i7-95_S1091	10_5_megagametophyte	1
P02_WG07	P02_WG07_i5-509_i7-18_S901	20_1010	1
P04_WA08	P04_WA08_i5-511_i7-16_S1011	elite_pine_family	10
P04_WB08	P04_WB08_i5-511_i7-57_S1023	elite_pine_family	10
P04_WC08	P04_WC08_i5-511_i7-17_S1035	elite_pine_family	10
P04_WD08	P04_WD08_i5-511_i7-80_S1047	elite_pine_family	10
P01_WA01	P01_WA01_i5-508_i7-59_S758	nongalled_10_5_prog	1
P01_WA02	P01_WA02_i5-508_i7-27_S759	nongalled_10_5_prog	1
P01_WA03	P01_WA03_i5-508_i7-82_S760	nongalled_10_5_prog	1
P01_WA04	P01_WA04_i5-508_i7-07_S761	nongalled_10_5_prog	1
P01_WA05	P01_WA05_i5-508_i7-38_S762	nongalled_10_5_prog	1
P01_WA06	P01_WA06_i5-508_i7-74_S763	nongalled_10_5_prog	1
P01_WA07	P01_WA07_i5-508_i7-77_S764	nongalled_10_5_prog	1
P01_WA08	P01_WA08_i5-508_i7-16_S765	nongalled_10_5_prog	1
P01_WA09	P01_WA09_i5-508_i7-36_S766	nongalled_10_5_prog	1
P01_WA10	P01_WA10_i5-508_i7-54_S767	nongalled_10_5_prog	1
P01_WA11	P01_WA11_i5-508_i7-25_S768	nongalled_10_5_prog	1
P01_WA12	P01_WA12_i5-508_i7-23_S769	nongalled_10_5_prog	1
P01_WB01	P01_WB01_i5-508_i7-31_S770	nongalled_10_5_prog	1
P01_WB02	P01_WB02_i5-508_i7-39_S771	nongalled_10_5_prog	1
P01_WB03	P01_WB03_i5-508_i7-02_S772	nongalled_10_5_prog	1
P01_WB04	P01_WB04_i5-508_i7-20_S773	nongalled_10_5_prog	1
P01_WB05	P01_WB05_i5-508_i7-90_S774	nongalled_10_5_prog	1
P01_WB06	P01_WB06_i5-508_i7-06_S775	nongalled_10_5_prog	1
P01_WB07	P01_WB07_i5-508_i7-29_S776	nongalled_10_5_prog	1
P01_WB08	P01_WB08_i5-508_i7-57_S777	nongalled_10_5_prog	1
P01_WB09	P01_WB09_i5-508_i7-63_S778	nongalled_10_5_prog	1
P01_WB10	P01_WB10_i5-508_i7-55_S779	nongalled_10_5_prog	1
P01_WB11	P01_WB11_i5-508_i7-05_S780	nongalled_10_5_prog	1
P01_WB12	P01_WB12_i5-508_i7-75_S781	nongalled_10_5_prog	1
P01_WC01	P01_WC01_i5-508_i7-65_S782	nongalled_10_5_prog	1
P01_WC02	P01_WC02_i5-508_i7-67_S783	nongalled_10_5_prog	1
P01_WC03	P01_WC03_i5-508_i7-40_S784	nongalled_10_5_prog	1
P01_WC04	P01_WC04_i5-508_i7-19_S785	nongalled_10_5_prog	1
P01_WC05	P01_WC05_i5-508_i7-81_S786	nongalled_10_5_prog	1
P01_WC06	P01_WC06_i5-508_i7-03_S787	nongalled_10_5_prog	1
P01_WC07	P01_WC07_i5-508_i7-62_S788	nongalled_10_5_prog	1
P01_WC08	P01_WC08_i5-508_i7-17_S789	nongalled_10_5_prog	1
P01_WC09	P01_WC09_i5-508_i7-93_S790	nongalled_10_5_prog	1
